base_1,43.118967237	,131.889649040	,114.216
4029,43.025995789	,131.899001142	,46.526
4030,43.026018135	,131.898965304	,46.110
4031,43.026011913	,131.898963765	,46.308
4032,43.026035237	,131.898991114	,45.793
4033,43.026061242	,131.898971550	,45.505
4034,43.026059994	,131.898939102	,45.522
4035,43.026054888	,131.898937344	,45.633
4036,43.026050214	,131.898850729	,45.194
4037,43.026000735	,131.898855850	,46.370
4038,43.026006048	,131.898855168	,46.186
4039,43.025994597	,131.898808426	,45.991
4040,43.026032005	,131.898780999	,45.388
4041,43.026026894	,131.898774870	,45.878
4042,43.026892873	,131.899599266	,35.408
4043,43.026890924	,131.899605998	,35.324
4044,43.026887306	,131.899602076	,35.726
4045,43.026858529	,131.899543767	,36.076
4046,43.026844271	,131.899582193	,36.275
4047,43.026844400	,131.899616353	,35.740
4048,43.026808531	,131.899575990	,36.700
4049,43.026762923	,131.899631283	,36.672
4050,43.026709023	,131.899567967	,37.886
